"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","Успешное создание уникального пользователя","tests","2026-06-11","passed","2026-06-11","TestCreateUser","test_create_user","",""
"","837","Успешный вход под существующим пользователем","tests","2026-06-11","passed","2026-06-11","TestLoginUser","test_login_user","",""
"","986","Создание заказа авторизованным пользователем с ингредиентами","tests","2026-06-11","passed","2026-06-11","TestOrders","test_orders","",""
"","673","Ошибка при создании заказа с неверным хешем ингредиентов","tests","2026-06-11","skipped","2026-06-11","TestOrders","test_orders","",""
"","316","Ошибка при изменении данных неавторизованного пользователя","tests","2026-06-11","passed","2026-06-11","TestChangeUser","test_change_user","",""
"","786","Ошибка при входе с неверным паролем","tests","2026-06-11","passed","2026-06-11","TestLoginUser","test_login_user","",""
"","686","Успешное получение заказов авторизованным пользователем","tests","2026-06-11","passed","2026-06-11","TestOrders","test_orders","",""
"","276","Ошибка при получении заказов неавторизованным пользователем","tests","2026-06-11","passed","2026-06-11","TestOrders","test_orders","",""
"","280","Ошибка при входе под несуществующим пользователем","tests","2026-06-11","passed","2026-06-11","TestLoginUser","test_login_user","",""
"","367","Создание заказа неавторизованным пользователем","tests","2026-06-11","passed","2026-06-11","TestOrders","test_orders","",""
"","654","Ошибка при создании заказа без ингредиентов","tests","2026-06-11","passed","2026-06-11","TestOrders","test_orders","",""
"","705","Ошибка при создании пользователя, который уже зарегистрирован","tests","2026-06-11","passed","2026-06-11","TestCreateUser","test_create_user","",""
"","728","Ошибка при использовании почты другого пользователя","tests","2026-06-11","passed","2026-06-11","TestChangeUser","test_change_user","",""
"","690","Ошибка при входе с неверным логином","tests","2026-06-11","passed","2026-06-11","TestLoginUser","test_login_user","",""
"","754","Успешное изменение данных авторизованного пользователя","tests","2026-06-11","passed","2026-06-11","TestChangeUser","test_change_user","",""
"","286","Ошибка при создании пользователя без обязательного поля (email)","tests","2026-06-11","passed","2026-06-11","TestCreateUser","test_create_user","",""
